ID,ウマ娘,グッズ名,入手タイプ,トレーディング,金額,最大数量,備考
495,スティルインラブ,ビックカメラコラボ アクリルスタンド【有明ガーデンギャラリーのみ】,先行販売,FALSE,2680,,
496,アドマイヤグルーヴ,ビックカメラコラボ アクリルスタンド【有明ガーデンギャラリーのみ】,先行販売,FALSE,2680,,
497,アグネスデジタル,ビックカメラコラボ マフラータオル【有明ガーデンギャラリーのみ】,先行販売,FALSE,2480,,
498,エアシャカール,ビックカメラコラボ マフラータオル【有明ガーデンギャラリーのみ】,先行販売,FALSE,2480,,
499,トランセンド,ビックカメラコラボ マフラータオル【有明ガーデンギャラリーのみ】,先行販売,FALSE,2480,,
500,スティルインラブ,ビックカメラコラボ マフラータオル【有明ガーデンギャラリーのみ】,先行販売,FALSE,2480,,
501,アドマイヤグルーヴ,ビックカメラコラボ マフラータオル【有明ガーデンギャラリーのみ】,先行販売,FALSE,2480,,
502,アグネスデジタル,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
503,エアシャカール,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
504,トランセンド,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
505,スティルインラブ,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
506,アドマイヤグルーヴ,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
507,ファインモーション,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
508,アグネスタキオン,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
509,ブエナビスタ,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
510,レッドディザイア,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
511,ヴィクトワールピサ,ビックカメラコラボ ミニキャラステッカー【有明ガーデンギャラリーのみ】,先行販売,FALSE,660,,
512,アグネスデジタル,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
513,エアシャカール,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
514,トランセンド,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
515,スティルインラブ,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
516,アドマイヤグルーヴ,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
517,ファインモーション,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
518,アグネスタキオン,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
519,ブエナビスタ,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
520,レッドディザイア,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
521,ヴィクトワールピサ,ビックカメラコラボ ランダムアクリルブロック【有明ガーデンギャラリーのみ】,先行販売,TRUE,990,10,1BOX10種入り: 9900円
522,アグネスデジタル,ビックカメラコラボ タペストリー【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
523,エアシャカール,ビックカメラコラボ タペストリー【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
524,トランセンド,ビックカメラコラボ タペストリー【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
525,スティルインラブ,ビックカメラコラボ タペストリー【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
526,アドマイヤグルーヴ,ビックカメラコラボ タペストリー【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
527,アグネスデジタル,ビックカメラコラボ クッションカバー【有明ガーデンギャラリーのみ】,先行販売,FALSE,1280,,
528,エアシャカール,ビックカメラコラボ クッションカバー【有明ガーデンギャラリーのみ】,先行販売,FALSE,1280,,
529,トランセンド,ビックカメラコラボ クッションカバー【有明ガーデンギャラリーのみ】,先行販売,FALSE,1280,,
530,スティルインラブ,ビックカメラコラボ クッションカバー【有明ガーデンギャラリーのみ】,先行販売,FALSE,1280,,
531,アドマイヤグルーヴ,ビックカメラコラボ クッションカバー【有明ガーデンギャラリーのみ】,先行販売,FALSE,1280,,
532,アグネスデジタル,ビックカメラコラボ ガラスマウスパッド【有明ガーデンギャラリーのみ】,先行販売,FALSE,3980,,
533,エアシャカール,ビックカメラコラボ ガラスマウスパッド【有明ガーデンギャラリーのみ】,先行販売,FALSE,3980,,
534,トランセンド,ビックカメラコラボ ガラスマウスパッド【有明ガーデンギャラリーのみ】,先行販売,FALSE,3980,,
535,スティルインラブ,ビックカメラコラボ ガラスマウスパッド【有明ガーデンギャラリーのみ】,先行販売,FALSE,3980,,
536,アドマイヤグルーヴ,ビックカメラコラボ ガラスマウスパッド【有明ガーデンギャラリーのみ】,先行販売,FALSE,3980,,
537,アグネスデジタル,ビックカメラコラボ ステンレスボトル【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
538,エアシャカール,ビックカメラコラボ ステンレスボトル【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
539,トランセンド,ビックカメラコラボ ステンレスボトル【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
540,スティルインラブ,ビックカメラコラボ ステンレスボトル【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
541,アドマイヤグルーヴ,ビックカメラコラボ ステンレスボトル【有明ガーデンギャラリーのみ】,先行販売,FALSE,3300,,
542,アグネスデジタル,★ビックカメラコラボ ゲーミングコントローラー【7/17予約開始】,告知のみ,FALSE,5980,,参考商品: 7th当日は予約不可。
543,エアシャカール,★ビックカメラコラボ ゲーミングコントローラー【7/17予約開始】,告知のみ,FALSE,5980,,参考商品: 7th当日は予約不可。
544,トランセンド,★ビックカメラコラボ ゲーミングコントローラー【7/17予約開始】,告知のみ,FALSE,5980,,参考商品: 7th当日は予約不可。
545,スティルインラブ,★ビックカメラコラボ ゲーミングコントローラー【7/17予約開始】,告知のみ,FALSE,5980,,参考商品: 7th当日は予約不可。
546,アドマイヤグルーヴ,★ビックカメラコラボ ゲーミングコントローラー【7/17予約開始】,告知のみ,FALSE,5980,,参考商品: 7th当日は予約不可。
547,アグネスデジタル,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
548,エアシャカール,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
549,トランセンド,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
550,スティルインラブ,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
551,アドマイヤグルーヴ,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
552,ファインモーション,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
553,アグネスタキオン,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
554,ブエナビスタ,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
555,レッドディザイア,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
556,ヴィクトワールピサ,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
557,アグネスデジタル,★ビックカメラコラボ ランダムラバーフィギュア【7/17予約開始】,告知のみ,TRUE,1980,10,参考商品: 7th当日は予約不可。
